"RECORD #(BIBLIO)","OCLC #","FUND"
"b16221837","658810529","gslbo"
"b16221849","664141075","gslbo","gslb "
"b16221850","475454147","hisb "
"b16221862","427541940","phib "
"b16221874","587230106","mllb "
"b16221886","421148823","engb "
"b16221898","449854691","artb "
"b16221904","436027525","artb "
"b16221916","557406979","artb "
"b1622193x","456729767","engb "
"b16221941","462881579","engb "
"b16221965","445480685","engb "
"b16221977","458582742","mllb "
"b16221989","433550268","psyb "
"b16221990","432444041","phib "
"b16222003","460712172","phib "
"b16222015","458735166","socb "
"b16222027","452281533","hisb "
"b16222039","401150901","biob "
"b16222040","85162156","biob "
"b16222052","489636734","biob "
"b16222064","457159952","comb "
"b16222076","489010162","biob "
"b16222088","430842356","hisb "
"b1622209x","405105996","hisb "
"b16222106","613994606","hisb "
"b16222118","244177145","afrb "
"b1622212x","437299326","womb "
"b16222131","428895775","afrb "
"b16222143","461896787","hisb "
"b16222155","426253956","polb "
"b16222167","468976471","polb "
"b16222179","430839724","hisb "
"b16222180","473656172","polb "
"b16222192","537652550","polb "
"b16222209","423734521","socb "
"b16222210","436221200","psyb "
"b16222222","463765435","socb "
"b16222234","431935351","polb "
"b16222258","228463860","gsmb "
"b1622226x","688502644","biom "
"b16222271","430838768","comb "
"b16222283","463637969","comb "
"b16222295","421948429","artb "
"b16222301","475438293","artb "
"b16222313","455870651","engb "
"b16222325","471042771","engb "
"b16222337","430344575","mllb "
"b16222349","436311195","mllb "
"b16222362","401714379","phib "
"b16222374","495436489","phib "
"b16222386","436342290","phib "
"b16222398","300463024","phib "
"b16222465","688622245",
"b16222477","70162437","vidb "
"b16222489","688637417","vidb "
"b16222490","86112392","vidb "
"b16222507","689007718",
"b16222519","689035543",
"b16222520","689007849",
"b16222532","689007868",
"b16222544","689052218",
"b16222556","86212653","sswm "
"b16222568","639953933","sswm "
"b1622257x","163578995","sswm "
"b16222581","664114841","gslbo"
"b16222611","436031215","refb "
"b16222635","270231469","refb "
"b16222647","317383465","refb "
"b16222659","500822837","refb "
"b16222660","425839941","refb "
"b16222672","351316697","refb "
"b16222684","449283844","refb "
"b16222696","373480558","refb "
"b16222702","166379261","refb "
"b16222714","428031191","refb "
"b16222751","268787690","gslrb"
"b16222763","401567028","gslrb"
"b16222787","457158537","psyrb"
"b16222799","32465070","psyrb"
"b16222805","214282256","gslb "
"b16222829","475446555","refb "
"b16222830","8943664",
"b16222866","16091071","giftb"
"b16222878","60395406","edib "
"b1622288x","502359940","edib "
"b16222891","52773446","edib "
"b1622291x","315237802","edib "
"b16222921","262422873","edib "
"b16222933","667213100","edib "
"b16222945","290436802","edib "
"b16222957","367422642","edib "
"b16222969","12548392",
"b16222970","261177630","edib "
